
"Gah, stupid sexy Flanders!",Homer Simpson
I hope I didn't brain my damage.,Homer Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
I hope I didn't brain my damage.,Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"In theory, Communism works! In theory.",Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
I hope I didn't brain my damage.,Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
